Year,Attacks
1930,26
1931,29
1932,27
1933,22
1934,27
1935,32
1936,32
1937,30
1938,24
1939,25
1940,24
1941,27
1942,41
1943,28
1944,31
1945,16
1946,26
1947,30
1948,29
1949,31
1950,43
1951,32
1952,29
1953,36
1954,42
1955,43
1956,51
1957,41
1958,54
1959,93
1960,93
1961,78
1962,86
1963,61
1964,66
1965,51
1966,58
1967,48
1968,47
1969,30
1970,42
1971,28
1972,35
1973,27
1974,38
1975,49
1976,39
1977,26
1978,25
1979,25
1980,35
1981,49
1982,40
1983,50
1984,41
1985,37
1986,39
1987,35
1988,55
1989,53
1990,38
1991,38
1992,56
1993,56
1994,56
1995,76
1996,61
1997,57
1998,65
1999,66
2000,97
2001,92
2002,88
2003,92
2004,92
2005,103
2006,103
2007,112
2008,122
2009,120
2010,101
2011,128
2012,117
2013,122
2014,127
2015,143
2016,130
2017,136
